categorie_de_produit,sous_categorie_de_produit,risques_encourus_par_le_consommateur,nom_de_la_marque_du_produit,date_debut_fin_de_commercialisation,distributeurs,motif_du_rappel
"Vêtements, Mode, EPI",Bijouterie,Intoxication,LOU YETU,NA,"LOU YETU
Autres",Présence de plomb en quantité supérieure au seuil prévu par la réglementation européenne (REACH)
"Vêtements, Mode, EPI",Equipements de Protection Individuels,Dommages internes Intoxication,Careline Medisafe,NA,TOUS DISTRIBUTEURS,La filtration du masque n’est pas suffisante et présente donc un risque pour la santé de son utilisateur.
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Dommages internes Intoxication,Tajine Banane,NA,TOUS DISTRIBUTEURS,Les embouts métalliques des cordons de la capuche peuvent se dessertir. Le vêtement est destiné à l'adulte mais sa fonction d'aide à l'allaitement entraine un risque au regard de la proximité de l'enfant avec sa mère.
Alimentation,Céréales et produits de boulangerie,Dépassement des limites autorisées de pesticides,Système U,NA,Système U,"Présence d’un produit chimique, l’oxyde d’éthylène, à une teneur supérieure à la limite maximum réglementaire"
Automobiles et moyens de déplacement,Tous types d'accessoires,Blessures externes,Formula Baby,NA,TOUS DISTRIBUTEURS,La conception du siège peut entraîner un risque de blessures pour l’enfant
"Vêtements, Mode, EPI",Equipements de Protection Individuels,Blessures externes Dommages internes,TRIBORD - DECATHLON,Du 15/02/2021 au 10/03/2021,Décathlon,"Problème de sécurité concernant les cartouches de CO2. Celles-ci pourraient être vides, rendant le gonflage du gilet impossible. Dans ce cas, il existe un risque pour la sécurité du consommateur."
Bébés-Enfants (hors alimentaire),Jouets,Blessures externes,Aldi,Du 12/09/2020 au 11/03/2021,Aldi,"Risque de lésion oculaire, lié à la puissance de la LED bleue."
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,NOS RÉGIONS ONT DU TALENT,Depuis le 17/02/2021,E. LECLERC,présence de LISTERIA MONOCYTOGENES
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,CLOS CHEVREL,Du 12/02/2021 au 26/03/2021,INTERMARCHE,présence possible de Listeria monocytogenes
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,FROMAGERIE ANJOUIN,Du 15/02/2021 au 26/03/2021,"- AUCHAN, CARREFOUR, SYSTEME U 
- détaillants",présence possible de Listeria monocytogenes
Maison-Habitat,Appareils à pression,Blessures externes,Arthur Martin,NA,"Auchan
Boulanger",Ces autocuiseurs peuvent éclater lorsqu'ils sont sous pression
Maison-Habitat,Appareils à pression,Blessures externes Incendie,Armétal,NA,TOUS DISTRIBUTEURS,Défaillance du système de sécurité. L'autocuiseur peut être ouvert alors qu'il est toujours sous pression.
Maison-Habitat,Appareils à pression,Blessures externes Incendie,Bäcken,NA,TOUS DISTRIBUTEURS,Défaillance de sécurité : il est possible d'ouvrir cet autocuiseur pendant qu'il est sous pression
Maison-Habitat,Appareils à pression,Blessures externes,Ogo Living,NA,TOUS DISTRIBUTEURS,Défaillance des systèmes de sécurité et d'ouverture. Du liquide chaud est susceptible de jaillir de l'autocuiseur
Maison-Habitat,Appareils à pression,Blessures externes Incendie,Tower,NA,Amazon et autres,Possibilité d’ouvrir l’autocuiseur pendant son utilisation
Maison-Habitat,Appareils à pression,Blessures externes,Bäcken,NA,"Intermarché
Amazon
CDiscount
Autres",Défaillance du système de sécurité
Maison-Habitat,Appareils à pression,Blessures externes Incendie,Beka,NA,TOUS DISTRIBUTEURS,Le couvercle se clipse mal sur le  corps  de l'autocuiseur
Maison-Habitat,Appareils à pression,Blessures externes,Emma Home,NA,Amazon et autres,La soupape ne relâche pas la vapeur
Maison-Habitat,Appareils à pression,Blessures externes,Berlinger Haus,NA,"CDiscount
Autres","Cet autocuiseur porte le marquage européen CE, mais n’a pas été certifié par un organisme compétent. Il pourrait donc être dangereux."
Maison-Habitat,Appareils à pression,Blessures externes,Berlinger Haus,NA,"CDiscount
Autres","Cet autocuiseur porte le marquage européen CE, mais n’a pas été certifié par un organisme compétent. Il pourrait donc être dangereux."
Maison-Habitat,Appareils à pression,Blessures externes,Herzberg,NA,TOUS DISTRIBUTEURS,Le couvercle risque d’être projeté ainsi que le contenu lorsqu’il est sous pression
Alimentation,Viandes,Listeria monocytogenes ,MAISON MILHAU,Du 08/03/2021 au 17/03/2021,"AUCHAN, CARREFOUR, CASINO, INTERMARCHE, LEADER PRICE, LECLERC, SYSTEME U",risque de présence de Listeria monocytogenes
Alimentation,Viandes,"Inertes (verre, métal, plastique, papier, textile…)",Mmm!,Depuis le 01/03/2021,AUCHAN,risque de présence de corps étrangers (particules métalliques)
Alimentation,Plats préparés et snacks,Autres contaminants chimiques,THIRIET,Depuis le 03/03/2021,THIRIET,résidus de produits chimiques
Bébés-Enfants (hors alimentaire),Jouets,"Inertes (verre, métal, plastique, papier, textile…)",Media Diffusion,NA,TOUS DISTRIBUTEURS,Présence d'un petit élément (petit élément en textile rouge rembourré et compacté formant les antennes de la coccinelle) qui se détache et qui risque d’être ingéré par de petits enfants.
Alimentation,Plats préparés et snacks,Autres contaminants chimiques,TOUPARGEL,NA,TOUPARGEL,résidus de produits chimiques
Alimentation,Plats préparés et snacks,Autres contaminants chimiques,CARREFOUR,NA,"Carrefour, réseaux distribuant les produits à marque Carrefour.",Contaminants chimiques - OXYDE D'ETHYLENE
Alimentation,Lait et produits laitiers,Salmonella spp ,FROMAGERIE GUILLAUME,Depuis le 08/03/2021,Magasins indépendants (vente au détail en fromagerie).,présence de SALMONELLES
Alimentation,Autres,Autres contaminants chimiques,MARQUE NEUTRE,Du 05/03/2021 au 26/03/2021,"COSTCO, DPA LOCATELLI, FRAVAL, LECLERC, LKB, MONOPRIX",potentielle contamination par des résidus de produits chimiques
Alimentation,Autres,Autres contaminants chimiques,MARQUE NEUTRE,Du 04/03/2021 au 25/03/2021,"ATAC, AUCHAN, CANTREL SALAISON SARL, CARREFOUR, CORA, INTERMARCHE, LECLERC, LKB INTERNATIONAL, SYSTEME U",potentielle contamination par des résidus de produits chimiques
Alimentation,Autres,Autres contaminants chimiques,MARQUE NEUTRE,Du 09/03/2021 au 23/04/2021,"ATAC, AUCHAN, CANTREL SALAISON SARL, CARREFOUR, CORA, INTERMARCHE, LECLERC, SYSTEME U",potentielle contamination par des résidus de produits chimiques
Bébés-Enfants (hors alimentaire),Jouets,Intoxication,Produits vendus sur le site Le Créatif,NA,Produit vendu par un tiers sur le site lecreatif.fr,Présence dans les ballons de baudruche de n nitrosamines en quantité supérieure au seuil prévu par la réglementation européenne
Alimentation,Produits sucrés,Substances allergisantes non déclarées,AUCHAN/POUCE,Du 15/01/2021 au 31/03/2021,"AUCHAN, Réseaux distribuant les produits à marque Auchan",ALLERGENE NON INDIQUE
Alimentation,Autres,Autres contaminants chimiques,AUCHAN,Du 05/03/2021 au 27/03/2021,AUCHAN,potentielle contamination par des résidus de produits chimiques
Alimentation,"Cacao, café et thé",Produits phytosanitaires non autorisés Dépassement des limites autorisées de pesticides,GRAIN DE SAIL,Du 01/02/2021 au 02/04/2021,"Aldouest, Carrefour, Coopérative U,   ITM,  Scarmor,  Leclerc, Auchan, Casino, Distribution Casino, Cora,  La coop Bio, Spar",Teneur d’oxyde d’éthylène supérieure à la règlementation Européenne en vigueur sur le sésame mis en œuvre dans les tablettes chocolat noir sésame.
Alimentation,Céréales et produits de boulangerie,"Inertes (verre, métal, plastique, papier, textile…)",Sans marque,Du 23/03/2021 au 02/04/2021,E.LECLERC DIEPPE,Présence potentielle de corps étrangers métalliques
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,HAPPY BIO,Depuis le 03/12/2020,"Carrefour
Intermarché
Leclerc
Auchan",Teneur en oxyde d'éthyléne supérieur à LMR
Alimentation,Produits de la pêche et d'aquaculture,Biotoxines marines ASP (toxines amnésiantes),KERALIOU,NA,INTERMARCHE,Présence de toxine ASP supérieure au seuil autorisé (30.8 mg pour 20mg)
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 22/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Autres,Présence de substance interdite Dépassement des limites autorisées de pesticides,ISPAGHUL,Du 02/12/2020 au 23/03/2021,Laboratoires Fenioux,Oxyde d'éthylène
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 08/03/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 26/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 04/03/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 17/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 10/03/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 18/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 16/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 01/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 02/03/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 17/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 22/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 09/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 25/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Viandes,Listeria monocytogenes ,CABROL LA SALVETAT,Du 25/03/2021 au 31/03/2021,"Hyper Leclerc Béziers - SAS MARANDIS

ZAC MONTIMARAN, Bretelle Est - Autoroute A9 - 34500 Béziers
Tel: 04.67.11.64.00 Fax 04.67.11.64.20",Présence de LISTERIA MONOCYTOGENES
Alimentation,Produits de la pêche et d'aquaculture,Vibrio parahaemolyticus,Casino,Du 08/02/2021 au 06/04/2021,"Les enseignes Casino, Vival, Spar et réseaux de distribution de Casino.",Présence de Vibrio parahaemolyticus présentant un gène de pathogénicité TDH.
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,ALBERT MENES,Du 01/10/2020 au 02/04/2021,"INTERMARCHE, LECLERC, MONOPRIX, GROUPE CARREFOUR, CASINO, LA GRANDE EPICERIE, GROUPE AUCHAN, SYSTEME U, FRANPRIX, CORA, MATCH, BHV, GALERIES LAFAYETTE, G20, SPAR",Présence d'oxyde d'éthylène dans les graines de sésame
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 17/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Produits de la pêche et d'aquaculture,Biotoxines marines ASP (toxines amnésiantes),Keraliou,Du 29/03/2021 au 31/03/2021,Système U + autres livrés par grossistes,résultat d'analyse de toxine ASP supérieur au seuil autorisé
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 06/01/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 12/01/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 06/01/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
