categorie_de_produit,sous_categorie_de_produit,risques_encourus_par_le_consommateur,nom_de_la_marque_du_produit,date_debut_fin_de_commercialisation,distributeurs,motif_du_rappel
Alimentation,Lait et produits laitiers,Listeria,NOS RÉGIONS ONT DU TALENT,Depuis le 17/02/2021,E. LECLERC,présence de LISTERIA MONOCYTOGENES
Alimentation,Lait et produits laitiers,Listeria,CLOS CHEVREL,Du 12/02/2021 au 26/03/2021,INTERMARCHE,présence possible de Listeria monocytogenes
Alimentation,Lait et produits laitiers,Listeria,FROMAGERIE ANJOUIN,Du 15/02/2021 au 26/03/2021,"- AUCHAN, CARREFOUR, SYSTEME U 
- détaillants",présence possible de Listeria monocytogenes
Alimentation,Viandes,Listeria,MAISON MILHAU,Du 08/03/2021 au 17/03/2021,"AUCHAN, CARREFOUR, CASINO, INTERMARCHE, LEADER PRICE, LECLERC, SYSTEME U",risque de présence de Listeria monocytogenes
Alimentation,Lait et produits laitiers,Salmonella,FROMAGERIE GUILLAUME,Depuis le 08/03/2021,Magasins indépendants (vente au détail en fromagerie).,présence de SALMONELLES
Alimentation,Viandes,Listeria,CABROL LA SALVETAT,Du 25/03/2021 au 31/03/2021,"Hyper Leclerc Béziers - SAS MARANDIS

ZAC MONTIMARAN, Bretelle Est - Autoroute A9 - 34500 Béziers
Tel: 04.67.11.64.00 Fax 04.67.11.64.20",Présence de LISTERIA MONOCYTOGENES
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Leroy,Du 30/03/2021 au 02/04/2021,"Magasin usine FISHCUT
Magasin usine EUROSALMON
Boucheries André",détection de Listeria monocytogenes
Alimentation,Viandes,Salmonella,LEADER PRICE,NA,Leader Price et réseaux de distribution de Leader Price.,Détection de salmonelle.
Alimentation,Viandes,Listeria,CABROL LA SALVETAT,Du 30/03/2021 au 12/04/2021,"Montpellier, Béziers, Thézan, Saint Pons, La Salvetat/Agoût : leclerc   Super u   marché U    place du marché   source paysanne   magasin Cabrol la Salvetat",listeria monocytogenes
Alimentation,Autres,Salmonella,ONO,Du 29/03/2021 au 09/04/2021,INTERMARCHE,ANALYSE BACTÉRIOLOGIQUE NON CONFORME
Alimentation,Viandes,Listeria,Pierre Sajous,Du 23/03/2021 au 02/04/2021,Boutique de l'Atelier Pierre Sajous (65400),Présence de Listéria monocytogenes
Alimentation,Viandes,Listeria,MARQUE NEUTRE,Du 23/03/2021 au 02/04/2021,"Carrefour Market Lourdes (65100)
Carrefour Market Argeles Gazost (65400)",Présence de Listéria monocytogenes
Alimentation,Viandes,Listeria,Pierre Sajous,Du 07/04/2021 au 16/04/2021,Boutique Pierre Sajous Beaucens 65400 - Enseigne Point Vert,Suspicion non avérée de présence de Listéria monocytogenes suite à une présence détectée dans la matière première de notre fournisseur de viande de Porc Noir de Bigorre
Alimentation,Lait et produits laitiers,Listeria,GAEC des Lauriers,NA,"Fromages vendus sur les marchés de Roussillon, Vienne et Bourgoin Jallieu, à la ferme et au point de vente collectif La ronde des Fermes à Estrablin.",Détection de Listeria
Alimentation,Lait et produits laitiers,Listeria,sans marque,Du 06/04/2021 au 19/04/2021,Points de vente Beillevaire - Enseignes Heure du Marché - crèmerie,Suspicion de Listeria monocytogenes
Alimentation,Viandes,Salmonella,Sans marque,Du 16/04/2021 au 17/04/2021,NaturéO CHARTRES rue du Gord - centre commercial les 3 ponts - 28000 CHARTRES,Présence de salmonelle lors d'un prélèvement bactériologique sur un steak haché a la demande
Alimentation,Produits de la pêche et d'aquaculture,Listeria,BOURGAIN ET FILS,Du 06/04/2021 au 21/04/2021,"MERCIQ 
SCAPMAREE 
JP MAREE 
CARREFOUR AIX / BEZIERS / LYON",Présence de Listeria Monocytogenes
Alimentation,Boissons non alcoolisées,Bacillus,Karma,NA,Secteur Biologique,Mise en évidence de développement de Bacillus cereus.
Alimentation,Lait et produits laitiers,Listeria,EARL Ferme de Reculefort,Du 01/04/2021 au 08/04/2021,Marchés et à la ferme.,Détection de Listeria lors d'un autocontrôle
Alimentation,Viandes,Listeria,sans marque,Du 18/03/2021 au 20/04/2021,"Magasin de l'entreprise René MEYER
Adresse: 2 route de Donnenheim, 67170 Wingersheim les quatre bans",Présence de listeria monocytogenes
Alimentation,Viandes,Listeria,KERMENE,Du 15/04/2021 au 22/04/2021,LECLERC,Présence de Listéria Monocytogenes
Alimentation,Viandes,Listeria,sans marque,Du 09/04/2021 au 20/04/2021,"Magasin René MEYER
Adresse: 2 route de Donnenheim, 67170 Wingersheim les quatre bans",Présence de listeria monocytogene
Alimentation,Viandes,Listeria,SAINT GERY,Du 29/03/2021 au 23/04/2021,"SUPERMARCHE MATCH 
Allée des Peupliers
59117 WERVICQ",Présence de Listéria <10
Alimentation,Viandes,Salmonella,MAISON CLEMENS,Du 04/04/2021 au 18/04/2021,E.leclerc Bruges,Analyses bactériologiques : présence de Salmonelles
Alimentation,Viandes,Salmonella,sans marque,Du 14/04/2021 au 18/04/2021,E.LECLERC,Présence de Salmonelle
